Trending Topic	Trending Topic Score
singapore	358.83090717535595
zika	338.18907234429605
cases	299.16391341386986
area	201.35180754436917
crescentsims	182.5456929013818
zika cases	143.87526070459376
areas	63.30279224546132
people	48.8760412722094
sims drive area	48.76774473366811
aljunied crescent	47.81001558913354
case	47.77686428917106
channel newsasia	47.012527547062916
crescent cluster	39.95371203383852
china	39.15759075532231
haze	37.07081911235527
efforts	33.649229211529
awareness	30.82901776793407
psi	30.76244481137872
time	30.225394801698698
air quality	28.66218163462651
moh	28.517046860215874
animal welfare	28.513425098549813
fire	26.547341835465854
crescent	26.290227888820045
bukit batok	26.227959737915178
injuries	25.711152425792033
news	25.70242448210162
zika patients	25.63797903004899
football	25.015693364065996
dlvr	24.91383305833124
workers	24.767802798348328
forest fires	24.622830030792333
million	23.071736302871294
france	23.008152309732917
dtn singapore	23.008027400079737
sec	22.537345550256237
germany	22.2653670793704
line	22.121532285144095
sims	22.01005220234326
outsiders	21.72719849181986
state visit	21.658615238545167
attempts	21.563296858099857
construction site	21.54246710691834
zika infection	21.307924803515547
patients	20.712784012274955
chee hong tat	20.686452536254905
years	20.516096663453457
sexual consent	20.264512115454618
sirte	19.998130654724775
libyan troops	19.49394138422447
sghaze update	19.45973712571929
year	19.43744295653919
nea	19.254122695942108
man city	19.23652015976508
state	18.864673554082984
president	18.780876990716
bilbao	18.67390818217512
cna	17.67147290608396
range	17.60709285150689
barca victory	17.454014006580433
header	17.452148024543188
authorities	17.005502082159502
days	16.985515144744994
indonesia	16.9191516773017
eyes	16.3822074528941
anti-burkini law	16.36917314651105
improve	16.321741684435835
turkey	16.180518054662414
reed	16.149785651695428
tension	16.059667643303886
concern	16.051727297157182
monday	15.678868049065835
penalties	15.602710945080107
circumcision	15.599549917257834
monaco	15.484673256132128
shock defeat	15.483124788806515
psg	15.4808847340692
winds	15.320129286332135
vuelta stage	15.248373288016413
care	15.246089200857815
interior minister	15.216064617711865
skin	15.122010331518805
zika virus	15.12153273902237
red jersey	14.7520519031032
run	14.621936390006839
khatib camp	14.530015022056132
egypt	14.406482772495908
rio	14.235798427156327
distraction	14.033871336662541
iran	13.970258723200173
impact	13.947562022287027
breathing	13.940804893797385
continue	13.923174883466553
malaysia	13.685474418444073
number	13.682067875031628
top	13.597946077914948
emerge	13.44362954614358
joo chiat place	13.409677311553386
symptoms	13.213332103461848
ranking	13.172787918360097
